Chỉ tiêu;Mã chỉ tiêu;Cấp;Mã số
A - TÀI SẢN NGẮN HẠN (100 = 110+ 120 + 130 + 140 + 150) ;<ct100>;2;100
I. Tiền và các khoản tương đương tiền (110 = 111 + 112);<ct110>;3;110
1. Tiền;<ct111>;4;111
2. Các khoản tương đương tiền;<ct112>;4;112
II. Đầu tư tài chính ngắn hạn (120 = 121 + 122 + 123);<ct120>;3;120
1. Chứng khoán kinh doanh;<ct121>;4;121
2. Dự phòng giảm giá chứng khoán kinh doanh (*) (2);<ct122>;4;122
3. Đầu tư nắm giữ đến ngày đáo hạn;<ct123>;4;123
III. Các khoản phải thu ngắn hạn (130 = 131 + 132 +…+ 137 + 139);<ct130>;3;130
1. Phải thu ngắn hạn của khách hàng;<ct131>;4;131
2. Trả trước cho người bán ngắn hạn;<ct132>;4;132
3. Phải thu nội bộ ngắn hạn;<ct133>;4;133
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng;<ct134>;4;134
5. Phải thu về cho vay ngắn hạn;<ct135>;4;135
6. Phải thu ngắn hạn khác;<ct136>;4;136
7. Dự phòng phải thu ngắn hạn khó đòi (*);<ct137>;4;137
8. Tài sản thiếu chờ xử lý;<ct139>;4;139
IV. Hàng tồn kho (140 = 141 + 149);<ct140>;3;140
1. Hàng tồn kho;<ct141>;4;141
2. Dự phòng giảm giá hàng tồn kho (*);<ct149>;4;149
V. Tài sản ngắn hạn khác (150= 151 + 152 + …+ 155);<ct150>;3;150
1. Chi phí trả trước ngắn hạn;<ct151>;4;151
2. Thuế GTGT được khấu trừ;<ct152>;4;152
3. Thuế và các khoản khác phải thu Nhà nước;<ct153>;4;153
4. Giao dịch mua bán lại trái phiếu Chính phủ;<ct154>;4;154
5. Tài sản ngắn hạn khác;<ct155>;4;155
B - TÀI SẢN DÀI HẠN (200= 210 + 220 + 230 + 240 + 250 + 260);<ct200>;2;200
I- Các khoản phải thu dài hạn (210 = 211 + 212 +….+ 216 + 219);<ct210>;3;210
1. Phải thu dài hạn của khách hàng;<ct211>;4;211
2. Trả trước cho người bán dài hạn;<ct212>;4;212
3. Vốn kinh doanh ở đơn vị trực thuộc;<ct213>;4;213
4. Phải thu nội bộ dài hạn;<ct214>;4;214
5. Phải thu về cho vay dài hạn;<ct215>;4;215
6. Phải thu dài hạn khác;<ct216>;4;216
7. Dự phòng phải thu dài hạn khó đòi (*);<ct219>;4;219
II. Tài sản cố định ( 220 = 221 + 224 + 227);<ct220>;3;220
1. Tài sản cố định hữu hình (221 = 222 + 223);<ct221>;4;221
#NAME?;<ct222>;5;222
- Giá trị hao mòn luỹ kế (*);<ct223>;5;223
2. Tài sản cố định thuê tài chính (224 = 225 + 226);<ct224>;4;224
#NAME?;<ct225>;5;225
- Giá trị hao mòn luỹ kế (*);<ct226>;5;226
3. Tài sản cố định vô hình (227 = 228 + 229);<ct227>;4;227
#NAME?;<ct228>;5;228
- Giá trị hao mòn luỹ kế (*);<ct229>;5;229
III. Bất động sản đầu tư (230 = 231 + 232);<ct230>;4;230
#NAME?;<ct231>;5;231
- Giá trị hao mòn lũy kế (*);<ct232>;5;232
